Date,Open,High,Low,Close,AdjClose,Volume
1994-05-09,14.125000,14.562500,14.125000,14.375000,10.137767,29741600
1994-05-16,14.406250,15.593750,14.343750,15.531250,10.953189,77206400
1994-05-23,15.531250,16.031250,15.343750,15.906250,11.217653,48839600
1994-05-30,15.875000,15.937500,15.187500,15.250000,10.754844,32222000
1994-06-06,15.312500,15.875000,15.281250,15.656250,11.041344,31229600
1994-06-13,15.593750,16.250000,15.562500,15.593750,10.997269,44796400
1994-06-20,15.468750,15.562500,14.875000,14.968750,10.556495,35132400
1994-06-27,14.750000,15.468750,14.187500,14.250000,10.049610,57740400
1994-07-04,14.250000,14.468750,14.062500,14.156250,9.983491,35049600
1994-07-11,14.218750,14.625000,13.718750,14.218750,10.027568,54619200
1994-07-18,14.312500,15.656250,13.625000,15.343750,10.820958,76731200
1994-07-25,15.343750,15.781250,15.332025,15.468750,10.909116,38544400
1994-08-01,15.468750,15.875000,15.375000,15.593750,10.997269,35422800
1994-08-08,15.687500,16.281250,15.656250,15.937500,11.284472,47382000
1994-08-15,15.937500,17.156250,15.937500,17.031250,12.058899,59673200
1994-08-22,16.875000,17.531250,16.656250,17.500000,12.390794,72396400
1994-08-29,17.437500,17.500000,16.687500,16.812500,11.904016,43603200
1994-09-05,16.781250,17.062500,16.656250,16.812500,11.904016,27802400
1994-09-12,16.875000,17.843750,16.875000,17.750000,12.567803,55413200
1994-09-19,17.656250,17.843750,17.218750,17.281250,12.235916,48448400
1994-09-26,17.250000,17.531250,16.937500,17.406250,12.324412,34106000
1994-10-03,17.343750,17.937500,16.843750,17.781250,12.589929,47533200
1994-10-10,17.812500,18.531250,17.687500,18.281250,12.943955,48890000
1994-10-17,18.218750,19.031250,18.187500,18.656250,13.209475,66093600
1994-10-24,18.656250,19.093750,18.156250,19.031250,13.474994,47390000
1994-10-31,18.906250,18.906250,17.781250,17.781250,12.589929,48000800
1994-11-07,17.843750,18.593750,17.687500,18.093750,12.854925,45197600
1994-11-14,18.187500,18.468750,18.062500,18.312500,13.010340,37888400
1994-11-21,18.312500,18.531250,17.000000,17.687500,12.566298,39383200
1994-11-28,17.718750,17.906250,17.218750,17.843750,12.677300,35824400
1994-12-05,17.906250,18.093750,17.375000,17.875000,12.699504,37939600
1994-12-12,17.781250,17.843750,17.343750,17.531250,12.455283,41792800
1994-12-19,17.625000,18.656250,17.625000,18.375000,13.054741,43845200
1994-12-26,18.531250,18.625000,18.125000,18.375000,13.054741,23841600
1995-01-02,18.375000,18.937500,18.312500,18.781250,13.343360,33896000
1995-01-09,18.750000,19.312500,18.718750,19.093750,13.565384,47561200
1995-01-16,19.093750,19.500000,18.750000,18.843750,13.387764,44808800
1995-01-23,18.625000,18.718750,17.656250,18.125000,12.877121,67088800
1995-01-30,18.187500,18.812500,17.562500,18.656250,13.254558,45897200
1995-02-06,18.593750,18.937500,18.468750,18.750000,13.321157,31248800
1995-02-13,18.781250,19.062500,18.656250,18.750000,13.365943,36661200
1995-02-20,18.750000,18.937500,18.531250,18.718750,13.343661,28172800
1995-02-27,18.656250,20.000000,18.437500,19.968750,14.234727,55512000
1995-03-06,19.875000,20.406250,19.625000,20.281250,14.457488,68114800
1995-03-13,20.375000,20.906250,20.312500,20.656250,14.724808,53369600
1995-03-20,20.687500,21.093750,20.312500,20.906250,14.903011,46488000
1995-03-27,20.968750,21.281250,20.343750,20.531250,14.635705,47712000
1995-04-03,20.562500,21.281250,20.562500,21.000000,14.969852,38007200
1995-04-10,21.000000,21.906250,21.000000,21.593750,15.393106,31924800
